product_name,brand,category,price,size,love_count,rating,reviews_count,category_1,category_2,category_3,size_oz,size_mL,size_g
’REPLICA’ Lazy Sunday Morning,MAISON MARGIELA,Fragrance/Women/Perfume,126.0,3.4 oz/ 100 mL,16821,4.0042,240,Fragrance,Women,Perfume,3.4,100,
REPLICA Whispers In The Library,MAISON MARGIELA,Fragrance/Women/Perfume,28.0,3.4 oz/ 100 mL,4348,4.3297,182,Fragrance,Women,Perfume,3.4,100,
’REPLICA’ At The Barber’s,MAISON MARGIELA,Men/Fragrance/Cologne,126.0,3.4 oz/ 100 mL,3570,4.1528,72,Men,Fragrance,Cologne,3.4,100,
’REPLICA’ Jazz Club Travel Spray,MAISON MARGIELA,Fragrance/Men/Cologne,28.0,0.34 oz/ 10 mL,12404,4.7765,170,Fragrance,Men,Cologne,0.34,10,
REPLICA Under the Lemon Trees Eau de Toilette,MAISON MARGIELA,Fragrance/Women/Perfume,28.0,3.4oz/ 100mL,5500,4.3476,210,Fragrance,Women,Perfume,,,
Ultra HD Invisible Cover Foundation,MAKE UP FOR EVER,Makeup/Face/Foundation,43.0,1.01 oz/ 30 mL,378771,3.9403,9704,Makeup,Face,Foundation,1.01,30,
Matte Velvet Skin Blurring Powder Foundation,MAKE UP FOR EVER,Makeup/Face/Foundation,38.0,0.38oz/11g,52759,4.2074,810,Makeup,Face,Foundation,,,
Let's Gold Eye Palette,MAKE UP FOR EVER,Makeup/Eye/Eye Palettes,29.0,8.6w x .8d x 3.6h,14452,3.6,60,Makeup,Eye,Eye Palettes,,,
Matte Velvet Skin Full Coverage Foundation,MAKE UP FOR EVER,Makeup/Face/Foundation,38.0,1.01 oz/ 30 mL,35423,3.5455,1021,Makeup,Face,Foundation,1.01,30,
Step 1 Skin Equalizer Primer,MAKE UP FOR EVER,Makeup/Face/Face Primer,37.0,1 oz/ 30 mL,189870,3.6481,2924,Makeup,Face,Face Primer,1,30,
Ultra HD Invisible Cover Stick Foundation,MAKE UP FOR EVER,Makeup/Face/Foundation,43.0,0.44 oz/ 12.5 g,134773,4.0346,2575,Makeup,Face,Foundation,0.44,,2.5
Ultra HD Microfinishing Loose Powder,MAKE UP FOR EVER,Makeup/Face/Setting Spray & Powder,20.0, - Translucent	,23015,3.7113,336,Makeup,Face,Setting Spray & Powder,,,
Full Cover Concealer,MAKE UP FOR EVER,Makeup/Face/Concealer,34.0,0.5 oz/ 14 mL,106353,4.3597,4774,Makeup,Face,Concealer,0.5,14,
Ultra HD Self-Setting Concealer,MAKE UP FOR EVER,Makeup/Face/Concealer,28.0,0.17 oz/ 5 mL,28411,4.264,678,Makeup,Face,Concealer,0.17,5,
Artist Color Eye Shadow,MAKE UP FOR EVER,Makeup/Eye/Eyeshadow,17.0,0.08 oz/ 2.5 g,165855,4.3688,724,Makeup,Eye,Eyeshadow,0.08,,2.5
